"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","test_get_nonexistent_transaction_returns_error","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","0","test_transactions_list_is_non_empty","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","163","test_overview_page_loads_for_logged_in_user","tests.ui","2026-08-24","passed","2026-08-24","","test_overview","",""
"","159","test_overview_shows_at_least_one_account","tests.ui","2026-08-24","passed","2026-08-24","","test_overview","",""
"","0","test_generate_test_cases_rejects_a_non_list_response","tests.ai","2026-08-24","passed","2026-08-24","","test_test_generator","",""
"","17","test_transfer_moves_money_between_balances","tests.api","2026-08-24","passed","2026-08-24","","test_transfer_api","",""
"","56","test_transfer_negative_amount_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_transfer_api","",""
"","11","test_transactions_by_date_range_future_returns_empty_or_error","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","36","test_buy_position_returns_200","tests.api","2026-08-24","passed","2026-08-24","","test_positions_api","",""
"","37","test_registration_with_overlong_street_reports_correct_error","tests.api","2026-08-24","skipped","2026-08-24","","test_registration_api","",""
"","6","test_get_account_by_id_matches","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","0","test_generate_test_cases_returns_the_parsed_list","tests.ai","2026-08-24","passed","2026-08-24","","test_test_generator","",""
"","55","test_request_loan_zero_amount_does_not_leak_internal_error","tests.api","2026-08-24","skipped","2026-08-24","","test_loans_api","",""
"","6","test_transfer_page_lists_accounts","tests.ui","2026-08-24","passed","2026-08-24","","test_transfer","",""
"","61","test_account_has_transaction_table","tests.ui","2026-08-24","passed","2026-08-24","","test_account_activity","",""
"","1","test_customer_has_accounts","tests.api","2026-08-24","passed","2026-08-24","","test_accounts_api","",""
"","5","test_reading_foreign_account_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","TestApiRequiresAuthorization","test_security_api","",""
"","0","test_transaction_fields","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","16","test_bill_pay_without_routing_number_succeeds","tests.api","2026-08-24","passed","2026-08-24","","test_billpay_api","",""
"","7","test_deposit_negative_amount_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","","test_deposit_withdraw_api","",""
"","112","test_transfer_zero_amount_is_rejected","tests.ui","2026-08-24","skipped","2026-08-24","","test_transfer","",""
"","6","test_get_nonexistent_customer_returns_error","tests.api","2026-08-24","passed","2026-08-24","","test_customer_api","",""
"","13","test_get_positions_contains_bought_position","tests.api","2026-08-24","passed","2026-08-24","","test_positions_api","",""
"","11","test_transfer_without_amount_returns_error","tests.api","2026-08-24","passed","2026-08-24","","test_transfer_api","",""
"","62","test_account_shows_numeric_balance","tests.ui","2026-08-24","passed","2026-08-24","","test_account_activity","",""
"","34","test_loan_response_matches_contract","tests.api","2026-08-24","passed","2026-08-24","","test_contracts_api","",""
"","9","test_transactions_by_amount_returns_matching_records","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","7","test_transactions_by_amount_no_match_returns_empty_or_error","tests.api","2026-08-24","passed","2026-08-24","","test_transactions_api","",""
"","21","test_position_response_matches_contract","tests.api","2026-08-24","passed","2026-08-24","","test_contracts_api","",""
"","0","test_account_activity_page_loads","tests.ui","2026-08-24","passed","2026-08-24","","test_account_activity","",""
"","32","test_registration_missing_state_is_rejected","tests.api","2026-08-24","passed","2026-08-24","","test_registration_api","",""
"","9","test_withdrawing_from_foreign_account_is_rejected","tests.api","2026-08-24","skipped","2026-08-24","TestApiRequiresAuthorization","test_security_api","",""
